title,year,paper width (cm),paper height (cm),width,height,plates,print_run,signed,short_description,long_description,notes,price,version_a,version_b,version_c,version_d,version_e
Cats,,57,76,240,300,,25,No,Print of a cat with string and red dots in a trompe l'oeil frame,"Trompe l'oeil picture frame with a kitten in the inside right hand of the frame.  The kitten is surrounded by lines representing string and red dots at the bottom, mimicking the dots used to denote a sold print at the Royal Academy Summer Exhibition.  The frame is ornate with detailing at each corner and the red of the dots is a deep red.",,£210,Black with Red dots,,,,
Self Portrait,,56,77.2,298,414,,25,Yes,Self portrait of artist's face as seen through or reflected in a window pane in the foreground,"The foreground of the work features a rain spotted window through which the artist's face is seen blurrily.  The foregrounded window with a very prominent lock in the bottom third of the work indicates we are inside a room, rather than outside, and that we are either seeing a reflection in the room rather than looking *through* the window, or that the artist is outside the window looking in on the viewer.","Labelled AP.  Where work is signed, leave 3cm additionally in height when framing.",£540,Black,,,,
Cage,,45.8,36.7,410,300,,25,Yes,A crowd encased by a wired fence in the foreground,"The foreground of the print consists of a photographic imprint of a wire fence, behind which a vast crowd of smudgy faces retreats into the distance.  The faces at the front of the work closest to the fence have an ethereal quality.",The reverse of the print has a exhibition label.  Exhibition National Print 1997 At THE MALL GALLERIES (The Federation of British Artists).  Title of work - Cage.  Mr Bill Good.  Address 17 St Marks Cres London NW1.  Medium - Etching.  Price in Pounds £100.  There is a separate label marking 033.,"£1,200",Black,,,,
Fishes,,57,76,495,550,,25,No,"Photos of fish overlaid with multiple municipal notices, including 'Caution' and 'No Diving', all in a green hue","There are several overlaid image of public signs, includins several 'Caution', 'No diving' and iconic red circle/crossed line images indicating forbidden activitiy.  The etching is completed in a deepening shade of green, which progressively darkens from the top of the work to the bottom.  At the top of the print, several photographic fish swim through the notices.",There is also a black print of the work,£230,Green,,,,
Island 501,,46,36,350,250,,25,Yes,A trompe l'oeil print of jeans which appears as an island with a reflective surrounding water and clouds,"A pair of jeans are constructed to appear as an island, wtith reflective water in the foreground and clouds above.  One print is completed entirely in blue, with the seams and belt loops of the garment visible as geography on the 'island'.",Marked AP.,£560,Black,Dark blue,,,
A Barn in Vidaillat,,68,52.9,495,326,2,25,No,"An image of the interior of a barn, with green bottles hanging in background","Interior of a barn with the various textures of wood and features of architecture included.  The work is in black and white except for a feature of stashed green bottles, in a deep jewel green in the upper right half of the etching.",,£460,Black and Green,,,,
Look Right,,55,77,330,590,,25,No,"A cut off road marking reads 'OK RIGH' askew in the foreground, while an arrangement of glowing lights queue in a rain-spackled background","A black and white etching prominently featuring a cut-off road marking, fully suggesting 'LOOK RIGHT', clipped by the bottom and right sides of the image, while a queue of glowing lights recede into the top left background.  The image appears to be seen through a rain-spattered screen or other viewing panel.",,£260,Black,,,,
Billy,,45.5,75.5,330,595,1,25,Yes,Self portrait of the artist in black and white with one eye outlined in red,"Close up of the artist's face, with outlined sections. The etching is completed in black with the left eye outlined in red. The artist's face is in stark relief against a very dark background.",Marked AP,£320,One eye is outlined red after printing,Black,,,
Reclining Figure,,75.5,56.5,495,225,,25,No,"Reclining figure with grass in the foreground, completed in green","The outline of what appears to be a figure reclines, whilst in the foreground there appears the outline of grass.  The work is completed in a verdant deep green.",One alternate print features figure only,£440,Black,Green and Red,Black (figure only),,
Anthony On One Elbow,,46,36,370,245,1,25,Yes,A reclining photorealistic child is seen through a rain soaked window,"The foreground of the work is overcome by rain droplets which cover an apparent (but not seen) window frame. Through the window we see the reclining figure of an older child, most prominently his face and hand, with his body propped on one elbow.  The figure occupies the central space of the etching, which is completed in black and white.",Marked AP,£590,Black,,,,
